Algorithm,Nthreads,Time(ms),SpeedUp,Efficiency,Result
seq,1,7,1,1,0xff800000
seq,2,7,1,0.5,0xff800000
seq,3,6,1.16667,0.388889,0xff800000
seq,4,6,1.16667,0.291667,0xff800000
seq,5,6,1.16667,0.233333,0xff800000
seq,6,6,1.16667,0.194444,0xff800000
seq,7,6,1.16667,0.166667,0xff800000
seq,8,6,1.16667,0.145833,0xff800000
seq,9,6,1.16667,0.12963,0xff800000
seq,a,6,1.16667,0.116667,0xff800000
seq,b,6,1.16667,0.106061,0xff800000
seq,c,6,1.16667,0.0972222,0xff800000
seq,d,6,1.16667,0.0897436,0xff800000
seq,e,6,1.16667,0.0833333,0xff800000
seq,f,6,1.16667,0.0777778,0xff800000
seq,10,6,1.16667,0.0729167,0xff800000
seq,11,6,1.16667,0.0686275,0xff800000
seq,12,6,1.16667,0.0648148,0xff800000
seq,13,6,1.16667,0.0614035,0xff800000
seq,14,6,1.16667,0.0583333,0xff800000
seq,15,6,1.16667,0.0555556,0xff800000
seq,16,6,1.16667,0.0530303,0xff800000
seq,17,6,1.16667,0.0507246,0xff800000
seq,18,6,1.16667,0.0486111,0xff800000
seq,19,6,1.16667,0.0466667,0xff800000
seq,1a,6,1.16667,0.0448718,0xff800000
seq,1b,6,1.16667,0.0432099,0xff800000
seq,1c,6,1.16667,0.0416667,0xff800000
seq,1d,6,1.16667,0.0402299,0xff800000
seq,1e,6,1.16667,0.0388889,0xff800000
seq,1f,6,1.16667,0.0376344,0xff800000
seq,20,6,1.16667,0.0364583,0xff800000
seq,21,6,1.16667,0.0353535,0xff800000
seq,22,6,1.16667,0.0343137,0xff800000
seq,23,6,1.16667,0.0333333,0xff800000
seq,24,6,1.16667,0.0324074,0xff800000
seq,25,6,1.16667,0.0315315,0xff800000
seq,26,6,1.16667,0.0307018,0xff800000
seq,27,6,1.16667,0.0299145,0xff800000
seq,28,6,1.16667,0.0291667,0xff800000
seq,29,6,1.16667,0.0284553,0xff800000
seq,2a,6,1.16667,0.0277778,0xff800000
seq,2b,6,1.16667,0.0271318,0xff800000
seq,2c,6,1.16667,0.0265152,0xff800000
seq,2d,6,1.16667,0.0259259,0xff800000
seq,2e,6,1.16667,0.0253623,0xff800000
seq,2f,6,1.16667,0.0248227,0xff800000
seq,30,6,1.16667,0.0243056,0xff800000
autoreduce,1,6,1,1,0xff800000
autoreduce,2,7,0.857143,0.428571,0xff800000
autoreduce,3,6,1,0.333333,0xff800000
autoreduce,4,7,0.857143,0.214286,0xff800000
autoreduce,5,7,0.857143,0.171429,0xff800000
autoreduce,6,7,0.857143,0.142857,0xff800000
autoreduce,7,7,0.857143,0.122449,0xff800000
autoreduce,8,8,0.75,0.09375,0xff800000
autoreduce,9,8,0.75,0.0833333,0xff800000
autoreduce,a,7,0.857143,0.0857143,0xff800000
autoreduce,b,7,0.857143,0.0779221,0xff800000
autoreduce,c,7,0.857143,0.0714286,0xff800000
